category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,inactive,DR-AS normal,dras_normal,equal,4004,4004.0,1.580022453814942,0.04698804228040835
All,inactive,"Beta, no hurdle",beta_no_hurdle,equal,4004,4004.0,1.5618961998658654,0.04341042122228182
All,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,4004,4004.0,0.8539533040028356,0.040228294471118135
All,inactive,MHB,mhb,equal,4004,4004.0,0.8832438857873237,0.04556715020451249
All,inactive,DR normal,dr_normal,volume,4004,237962.21000000002,2.177316929221294,0.07595561377919943
All,inactive,DR-AS normal,dras_normal,volume,4004,237962.21000000002,3.0666918362917106,0.1706828777198531
All,inactive,"Beta, no hurdle",beta_no_hurdle,volume,4004,237962.21000000002,2.8327952041290176,0.13221651154233127
All,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,4004,237962.21000000002,0.2808201254842978,0.06323410334431234
All,inactive,MHB,mhb,volume,4004,237962.21000000002,0.3204006486811853,0.12275083970172071
All,inactive,DR normal,dr_normal,contract_balanced,4004,24.0,1.5334580854239181,0.03995072757738365
All,inactive,DR-AS normal,dras_normal,contract_balanced,4004,24.0,2.7330759879553654,0.11919470275458684
All,inactive,"Beta, no hurdle",beta_no_hurdle,contract_balanced,4004,24.0,2.494410324121488,0.09489546224222158
All,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,4004,24.0,1.101396895463506,0.0785393656173247
All,inactive,MHB,mhb,contract_balanced,4004,24.0,1.0098321120237272,0.0902102249623477
Economics,inactive,DR normal,dr_normal,equal,4004,4004.0,1.4735030321253364,0.037639345099557846
Economics,inactive,DR-AS normal,dras_normal,equal,4004,4004.0,1.580022453814942,0.04698804228040835
Economics,inactive,"Beta, no hurdle",beta_no_hurdle,equal,4004,4004.0,1.5618961998658654,0.04341042122228182
Economics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,4004,4004.0,0.8539533040028356,0.040228294471118135
