category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
Politics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,2260,12.0,5.686980470298432,0.30363421434637766
Politics,active,MHB,mhb,contract_balanced,2260,12.0,5.110777926756115,0.3037441424916271
Sports,active,DR normal,dr_normal,equal,9467,9467.0,5.69641454972127,0.2270321136490968
Sports,active,DR-AS normal,dras_normal,equal,9467,9467.0,5.44693212503272,0.22551543603418525
Sports,active,"Beta, no hurdle",beta_no_hurdle,equal,9467,9467.0,7.06272860899946,0.22595920491991162
Sports,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,9467,9467.0,46.39739741466025,0.3451350576147879
Sports,active,MHB,mhb,equal,9467,9467.0,8.531700143961318,0.3441707713773806
Sports,active,DR normal,dr_normal,volume,9467,95040634.0,7.739882521427079,0.5289643232516609
Sports,active,DR-AS normal,dras_normal,volume,9467,95040634.0,5.196240166720799,0.5145100930319604
Sports,active,"Beta, no hurdle",beta_no_hurdle,volume,9467,95040634.0,18.164012151859836,0.524538300970257
Sports,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,9467,95040634.0,19.352326003837685,0.5419353426698181
Sports,active,MHB,mhb,volume,9467,95040634.0,18.819652999904825,0.54415616614784
Sports,active,DR normal,dr_normal,contract_balanced,9467,212.0,20.270689786511777,0.7779182960073613
Sports,active,DR-AS normal,dras_normal,contract_balanced,9467,212.0,19.897625542255287,0.7690184802852956
Sports,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,9467,212.0,40.18214095949722,0.7890282268546092
Sports,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,9467,212.0,31.51295771899097,0.8282467836420949
Sports,active,MHB,mhb,contract_balanced,9467,212.0,27.080557478861085,0.8285344169631228
All,inactive,DR normal,dr_normal,equal,833296,833296.0,1.2203705492766423,0.03470007564203935
All,inactive,DR-AS normal,dras_normal,equal,833296,833296.0,1.2453738443449296,0.03581195227626236
All,inactive,"Beta, no hurdle",beta_no_hurdle,equal,833296,833296.0,1.3253942855621672,0.035793681522547575
All,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,833296,833296.0,0.20841996929744724,0.02347694056237452
All,inactive,MHB,mhb,equal,833296,833296.0,0.223681702717571,0.024241806073775227
All,inactive,DR normal,dr_normal,volume,833296,582971489.84,1.6801850755829832,0.08142858600716858
All,inactive,DR-AS normal,dras_normal,volume,833296,582971489.84,2.4925091820492926,0.12175746446902702
All,inactive,"Beta, no hurdle",beta_no_hurdle,volume,833296,582971489.84,4.905443631597528,0.10840103981338021
All,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,833296,582971489.84,3.2915374039116028,0.11635043059980925
All,inactive,MHB,mhb,volume,833296,582971489.84,3.2884324027222402,0.11640662712481956
All,inactive,DR normal,dr_normal,contract_balanced,833296,1404.0,2.086369454851138,0.11547038155335503
All,inactive,DR-AS normal,dras_normal,contract_balanced,833296,1404.0,2.5628284887941986,0.1468291177640379
All,inactive,"Beta, no hurdle",beta_no_hurdle,contract_balanced,833296,1404.0,5.768614147497993,0.14173687197779766
All,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,833296,1404.0,3.989640003149522,0.14605751730187685
All,inactive,MHB,mhb,contract_balanced,833296,1404.0,3.98775323275,0.14698962898542703
Economics,inactive,DR normal,dr_normal,equal,586702,586702.0,1.4524476066031193,0.0423617412511752
Economics,inactive,DR-AS normal,dras_normal,equal,586702,586702.0,1.470543711865677,0.04347915651625051
Economics,inactive,"Beta, no hurdle",beta_no_hurdle,equal,586702,586702.0,1.5349184829584996,0.04361533202599648
Economics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,586702,586702.0,0.22440882395819226,0.02924830168427724
Economics,inactive,MHB,mhb,equal,586702,586702.0,0.2457595717502948,0.030334092482457782
Economics,inactive,DR normal,dr_normal,volume,586702,48365759.84,2.117019892385037,0.08948914497182708
Economics,inactive,DR-AS normal,dras_normal,volume,586702,48365759.84,2.4707442584976578,0.11132227091603596
Economics,inactive,"Beta, no hurdle",beta_no_hurdle,volume,586702,48365759.84,2.6164904610016477,0.106571144752129
Economics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,586702,48365759.84,0.7883294814612367,0.10654312360866333
Economics,inactive,MHB,mhb,volume,586702,48365759.84,0.7746964396831593,0.10705659046002251
Economics,inactive,DR normal,dr_normal,contract_balanced,586702,1111.0,2.051958730666442,0.09100068147839219
Economics,inactive,DR-AS normal,dras_normal,contract_balanced,586702,1111.0,2.568075212104961,0.12814113900880647
Economics,inactive,"Beta, no hurdle",beta_no_hurdle,contract_balanced,586702,1111.0,3.488691743573481,0.12011331554555078
Economics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,586702,1111.0,1.6847754308572502,0.12348318815574716
Economics,inactive,MHB,mhb,contract_balanced,586702,1111.0,1.6780922122059656,0.12456318453983255
Politics,inactive,DR normal,dr_normal,equal,4613,4613.0,1.4038976897577766,0.04025781653494544
Politics,inactive,DR-AS normal,dras_normal,equal,4613,4613.0,1.8547123219423292,0.05987248719950144
Politics,inactive,"Beta, no hurdle",beta_no_hurdle,equal,4613,4613.0,1.9964929867075345,0.052619484531067184
Politics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,4613,4613.0,0.6623347821223007,0.04574962030265627
Politics,inactive,MHB,mhb,equal,4613,4613.0,0.6661228178557285,0.04576923057673409
Politics,inactive,DR normal,dr_normal,volume,4613,283035043.0,1.2976765673362036,0.036294356953462996
Politics,inactive,DR-AS normal,dras_normal,volume,4613,283035043.0,2.5782119910795744,0.10627463189441984
Politics,inactive,"Beta, no hurdle",beta_no_hurdle,volume,4613,283035043.0,2.420642433508568,0.08123980341902282
Politics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,4613,283035043.0,1.0646145947171872,0.08677108326933189
Politics,inactive,MHB,mhb,volume,4613,283035043.0,1.0687428836944692,0.08669980702444524
Politics,inactive,DR normal,dr_normal,contract_balanced,4613,12.999999999999998,2.0418992024933864,0.07925448180149464
Politics,inactive,DR-AS normal,dras_normal,contract_balanced,4613,12.999999999999998,2.819010745278777,0.14782655237390455
Politics,inactive,"Beta, no hurdle",beta_no_hurdle,contract_balanced,4613,12.999999999999998,9.121425746129786,0.1292654324490727
Politics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,4613,12.999999999999998,7.239420393252882,0.13664067931741267
Politics,inactive,MHB,mhb,contract_balanced,4613,12.999999999999998,7.223695768391439,0.13670747098082303
Sports,inactive,DR normal,dr_normal,equal,241981,241981.0,0.6541827726057536,0.016017813832433638
Sports,inactive,DR-AS normal,dras_normal,equal,241981,241981.0,0.6878156475802493,0.0167635339723028
Sports,inactive,"Beta, no hurdle",beta_no_hurdle,equal,241981,241981.0,0.8045928839264742,0.016508715252663658
Sports,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,241981,241981.0,0.16100053538019976,0.009059226012122685
Sports,inactive,MHB,mhb,equal,241981,241981.0,0.1617177023151864,0.009060190038718656
Sports,inactive,DR normal,dr_normal,volume,241981,251570687.0,2.026550803956952,0.13065814271592208
Sports,inactive,DR-AS normal,dras_normal,volume,241981,251570687.0,2.4002718015723215,0.14118297984627615
Sports,inactive,"Beta, no hurdle",beta_no_hurdle,volume,241981,251570687.0,8.14108599911075,0.1393111830761165
Sports,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,241981,251570687.0,6.278239691149234,0.15151482039298303
Sports,inactive,MHB,mhb,volume,241981,251570687.0,6.269020790407463,0.1516265203404687
Sports,inactive,DR normal,dr_normal,contract_balanced,241981,280.0,2.2249709828863105,0.21424410826784748
Sports,inactive,DR-AS normal,dras_normal,contract_balanced,241981,280.0,2.530116064035068,0.22093403828951608
Sports,inactive,"Beta, no hurdle",beta_no_hurdle,contract_balanced,241981,280.0,14.659354290276278,0.22811508594243954
Sports,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,241981,280.0,12.984130698668704,0.2360664407845487
Sports,inactive,MHB,mhb,contract_balanced,241981,280.0,13.001918021539582,0.23645194267512448
